event_ID,utilized_cores,num_cores,core_utilization,event_t_arrival,event_t_finish,event_t_finish_minus_event_t_arrival,(event.t_finish-event.t_arrival)/T,event_dnn
0,96000,96000,1.0,0,193050601,321751001.6666667,0.00193050601,GPT2
1,96000,96000,1.0,587272585760.972,587272595104.972,15573.333333333334,9.344e-08,AlexNet
2,96000,96000,1.0,587284023896.8363,587303024240.8363,31667240.0,0.00019000344,VGG19
3,96000,96000,1.0,1282195445258.1392,1282195454602.1392,15573.333333333334,9.344e-08,AlexNet
4,17510,96000,0.18239583333333334,1291883832423.5125,1294979865851.5125,5160055713.333334,0.03096033428,BERT
5,24252,96000,0.252625,1340971548356.519,1344067581784.519,5160055713.333334,0.03096033428,BERT
6,18693,96000,0.19471875,1391516802527.594,1391532802871.594,26667240.0,0.00016000344,VGG16
7,22856,96000,0.23808333333333334,1578799168216.9736,1578992218817.9736,321751001.6666667,0.00193050601,GPT2
8,28415,96000,0.2959895833333333,1694387139187.9158,1694406139531.9158,31667240.0,0.00019000344,VGG19
9,24252,96000,0.252625,1752987485643.1682,1756083519071.1682,5160055713.333334,0.03096033428,BERT
10,17003,96000,0.17711458333333333,1755764448120.0105,1755780448464.0105,26667240.0,0.00016000344,VGG16
11,7554,96000,0.0786875,2001061098673.405,2001110227780.405,81881845.0,0.00049129107,DLRM
12,96000,96000,1.0,2082861830063.7087,2082910959170.7087,81881845.0,0.00049129107,DLRM
13,96000,96000,1.0,2362759682142.035,2385760732743.035,38335084335.0,0.23001050601,ChatGPT
14,26410,96000,0.27510416666666665,2524076452426.0703,2524094452770.0703,30000573.333333336,0.00018000344,ResNet18
15,26410,96000,0.27510416666666665,2686408588701.5483,2686601639302.5483,321751001.6666667,0.00193050601,GPT2
16,46428,96000,0.483625,2804278938545.861,2804296938889.861,30000573.333333336,0.00018000344,ResNet18
17,26410,96000,0.27510416666666665,3004541991191.4775,3004559991535.4775,30000573.333333336,0.00018000344,ResNet18
18,18693,96000,0.19471875,3013429944522.568,3013622995123.568,321751001.6666667,0.00193050601,GPT2
19,96000,96000,1.0,3045319698936.267,3045335699280.267,26667240.0,0.00016000344,VGG16
