event_ID,utilized_cores,num_cores,core_utilization,event_t_arrival,event_t_finish,event_t_finish_minus_event_t_arrival,(event.t_finish-event.t_arrival)/T,event_dnn
0,200,200,1.0,0,193403424,1934034.24,0.00193403424,GPT2
1,200,200,1.0,587272585760.972,587274650104.972,20643.44,2.064344e-05,AlexNet
2,200,200,1.0,587284023896.8363,587395024240.8363,1110003.44,0.00111000344,VGG19
3,200,200,1.0,1282195445258.1392,1282197509602.1392,20643.44,2.064344e-05,AlexNet
4,200,200,1.0,1291883832423.5125,1294980026151.5125,30961937.28,0.03096193728,BERT
5,200,200,1.0,1340971548356.519,1344067742084.519,30961937.28,0.03096193728,BERT
6,200,200,1.0,1391516802527.594,1391604802871.594,880003.44,0.00088000344,VGG16
7,200,200,1.0,1578799168216.9736,1578992571640.9736,1934034.24,0.00193403424,GPT2
8,200,200,1.0,1694387139187.9158,1694498139531.9158,1110003.44,0.00111000344,VGG19
9,200,200,1.0,1752987485643.1682,1756083679371.1682,30961937.28,0.03096193728,BERT
10,200,200,1.0,1755764448120.0105,1756171678691.1682,4072305.7115771486,0.004072305711577149,VGG16
11,200,200,1.0,2001061098673.405,2001110230684.405,491320.11,0.00049132011,DLRM
12,200,200,1.0,2082861830063.7087,2082910962074.7087,491320.11,0.00049132011,DLRM
13,200,200,1.0,2362759682142.035,2385761085566.035,230014034.24,0.23001403424,ChatGPT
14,200,200,1.0,2524076452426.0703,2524204452770.0703,1280003.44,0.00128000344,ResNet18
15,200,200,1.0,2686408588701.5483,2686601992125.5483,1934034.24,0.00193403424,GPT2
16,200,200,1.0,2804278938545.861,2804406938889.861,1280003.44,0.00128000344,ResNet18
17,200,200,1.0,3004541991191.4775,3004669991535.4775,1280003.44,0.00128000344,ResNet18
18,200,200,1.0,3013429944522.568,3013623347946.568,1934034.24,0.00193403424,GPT2
19,200,200,1.0,3045319698936.267,3045407699280.267,880003.44,0.00088000344,VGG16
20,200,200,1.0,3255809996722.32,3278811400146.32,230014034.24,0.23001403424,ChatGPT
21,200,200,1.0,3345720305234.0493,3368721708658.0493,230014034.24,0.23001403424,ChatGPT
22,200,200,1.0,3662466193154.07,3662594193498.07,1280003.44,0.00128000344,ResNet18
23,200,200,1.0,3684474878181.017,3684476942525.017,20643.44,2.064344e-05,AlexNet
24,200,200,1.0,3722383825197.986,3725480018925.986,30961937.28,0.03096193728,BERT
25,200,200,1.0,3875314641142.845,3875316705486.845,20643.44,2.064344e-05,AlexNet
26,200,200,1.0,3877160398660.402,3877288399004.402,1280003.44,0.00128000344,ResNet18
27,200,200,1.0,3974984987664.612,3974987052008.612,20643.44,2.064344e-05,AlexNet
28,200,200,1.0,4112883364292.192,4112932496303.192,491320.11,0.00049132011,DLRM
29,200,200,1.0,4171966705540.4365,4172015837551.4365,491320.11,0.00049132011,DLRM
30,200,200,1.0,4182861846235.5063,4182863910579.5063,20643.44,2.064344e-05,AlexNet
31,200,200,1.0,4246206102334.8574,4246317102678.8574,1110003.44,0.00111000344,VGG19
32,200,200,1.0,4280965468208.3105,4281014600219.3105,491320.11,0.00049132011,DLRM
33,200,200,1.0,4293690920749.844,4293801921093.844,1110003.44,0.00111000344,VGG19
34,200,200,1.0,4295646616200.236,4295757616544.236,1110003.44,0.00111000344,VGG19
35,200,200,1.0,4544371155888.527,4544373220232.527,20643.44,2.064344e-05,AlexNet
36,200,200,1.0,4575234036962.491,4575283168973.491,491320.11,0.00049132011,DLRM
37,200,200,1.0,4663034621248.188,4663083753259.188,491320.11,0.00049132011,DLRM
38,200,200,1.0,4748393825253.886,4748504825597.886,1110003.44,0.00111000344,VGG19
39,200,200,1.0,5061975262313.405,5084976665737.405,230014034.24,0.23001403424,ChatGPT
40,200,200,1.0,5182292028507.723,5182294092851.723,20643.44,2.064344e-05,AlexNet
41,200,200,1.0,5258530713315.828,5258658713659.828,1280003.44,0.00128000344,ResNet18
42,200,200,1.0,5377078587097.301,5377189587441.301,1110003.44,0.00111000344,VGG19
43,200,200,1.0,5454862096728.379,5455055500152.379,1934034.24,0.00193403424,GPT2
44,200,200,1.0,5531626845584.6045,5534723039312.6045,30961937.28,0.03096193728,BERT
45,200,200,1.0,5546705195006.794,5546793195350.794,880003.44,0.00088000344,VGG16
46,200,200,1.0,5836013298257.102,5836206701681.102,1934034.24,0.00193403424,GPT2
47,200,200,1.0,6050678734513.481,6050872137937.481,1934034.24,0.00193403424,GPT2
48,200,200,1.0,6065467814711.541,6068564008439.541,30961937.28,0.03096193728,BERT
49,200,200,1.0,6288156106510.439,6311157509934.439,230014034.24,0.23001403424,ChatGPT
50,200,200,1.0,6338852222717.304,6338901354728.304,491320.11,0.00049132011,DLRM
51,200,200,1.0,6444493425191.369,6444621425535.369,1280003.44,0.00128000344,ResNet18
52,200,200,1.0,6487228592261.426,6487316592605.426,880003.44,0.00088000344,VGG16
53,200,200,1.0,6588794539026.442,6588882539370.442,880003.44,0.00088000344,VGG16
54,200,200,1.0,6803614632673.882,6803742633017.882,1280003.44,0.00128000344,ResNet18
55,200,200,1.0,6907955875096.447,6907957939440.447,20643.44,2.064344e-05,AlexNet
56,200,200,1.0,6950864824321.316,6953961018049.316,30961937.28,0.03096193728,BERT
57,200,200,1.0,6994953079483.284,6995081079827.284,1280003.44,0.00128000344,ResNet18
58,200,200,1.0,7050830651799.627,7050958652143.627,1280003.44,0.00128000344,ResNet18
59,200,200,1.0,7052004433106.203,7052115433450.203,1110003.44,0.00111000344,VGG19
60,200,200,1.0,7149210076524.983,7152306270252.983,30961937.28,0.03096193728,BERT
61,200,200,1.0,7303833608507.543,7303921608851.543,880003.44,0.00088000344,VGG16
62,200,200,1.0,7363601334128.169,7363603398472.169,20643.44,2.064344e-05,AlexNet
63,200,200,1.0,7648051832544.053,7671053235968.053,230014034.24,0.23001403424,ChatGPT
64,200,200,1.0,7675105093450.133,7675154225461.133,491320.11,0.00049132011,DLRM
65,200,200,1.0,7822768583596.054,7845769987020.054,230014034.24,0.23001403424,ChatGPT
66,200,200,1.0,7823056029028.0,7845895987020.054,228399579.9205371,0.2283995799205371,ResNet18
67,200,200,1.0,7839653202391.482,7868897389420.054,292441870.2857129,0.2924418702857129,ChatGPT
68,200,200,1.0,7914531475970.413,7914724879394.413,1934034.24,0.00193403424,GPT2
69,200,200,1.0,8037989290587.863,8038077290931.863,880003.44,0.00088000344,VGG16
70,200,200,1.0,8277169344944.674,8280265538672.674,30961937.28,0.03096193728,BERT
71,200,200,1.0,8340166431715.439,8340215563726.439,491320.11,0.00049132011,DLRM
72,200,200,1.0,8605291698089.469,8605419698433.469,1280003.44,0.00128000344,ResNet18
73,200,200,1.0,8685437333390.438,8685439397734.438,20643.44,2.064344e-05,AlexNet
74,200,200,1.0,8704352678504.738,8704480678848.738,1280003.44,0.00128000344,ResNet18
75,200,200,1.0,8840129133951.78,8840322537375.78,1934034.24,0.00193403424,GPT2
76,200,200,1.0,8959471386589.877,8959582386933.877,1110003.44,0.00111000344,VGG19
77,200,200,1.0,8985654992077.783,8985657056421.783,20643.44,2.064344e-05,AlexNet
78,200,200,1.0,9125847049150.201,9125849113494.201,20643.44,2.064344e-05,AlexNet
79,200,200,1.0,9130903168000.045,9130991168344.045,880003.44,0.00088000344,VGG16
80,200,200,1.0,9144173023321.45,9144366426745.45,1934034.24,0.00193403424,GPT2
81,200,200,1.0,9194643013676.242,9194645078020.242,20643.44,2.064344e-05,AlexNet
82,200,200,1.0,9197514497790.076,9197707901214.076,1934034.24,0.00193403424,GPT2
83,200,200,1.0,9208288079294.791,9208416079638.791,1280003.44,0.00128000344,ResNet18
84,200,200,1.0,9285687164127.121,9285689228471.121,20643.44,2.064344e-05,AlexNet
85,200,200,1.0,9628856726162.943,9628905858173.943,491320.11,0.00049132011,DLRM
86,200,200,1.0,9642115431756.014,9642203432100.014,880003.44,0.00088000344,VGG16
87,200,200,1.0,9651717683686.36,9654813877414.36,30961937.28,0.03096193728,BERT
